date,market1,market2,lag
2010-08-12,NL,US,0
2010-08-12,US,NL,0
2010-08-26,US,GB,-2000
2010-08-26,GB,US,2000
2010-08-26,NL,GB,0
2010-08-26,GB,NL,0
2010-08-26,NL,US,2000
2010-08-26,US,NL,-2000
2010-09-09,US,GB,4000
2010-09-09,GB,US,-4000
2010-09-09,NL,GB,34001
2010-09-09,GB,NL,-34001
2010-09-09,NL,US,0
2010-09-09,US,NL,0
2010-09-23,US,GB,2000
2010-09-23,GB,US,-2000
2010-09-23,NL,GB,2000
2010-09-23,GB,NL,-2000
2010-09-23,NL,US,2000
2010-09-23,US,NL,-2000
2010-10-07,US,GB,0
2010-10-07,GB,US,0
2010-10-07,NL,GB,0
2010-10-07,GB,NL,0
2010-10-07,NL,US,0
2010-10-07,US,NL,0
2010-10-21,US,GB,0
2010-10-21,GB,US,0
2010-10-21,NL,GB,4000
2010-10-21,GB,NL,-4000
2010-10-21,NL,US,6001
2010-10-21,US,NL,-6001
2010-11-04,US,GB,-18000
2010-11-04,GB,US,18000
2010-11-04,NL,GB,22001
2010-11-04,GB,NL,-22001
2010-11-04,NL,US,18000
2010-11-04,US,NL,-18000
2010-11-18,US,GB,-1999
2010-11-18,GB,US,1999
2010-11-18,NL,GB,0
2010-11-18,GB,NL,0
2010-11-18,NL,US,22000
2010-11-18,US,NL,-22000
2010-12-02,US,GB,-6000
2010-12-02,GB,US,6000
2010-12-02,NL,GB,4000
2010-12-02,GB,NL,-4000
2010-12-02,NL,US,6001
2010-12-02,US,NL,-6001
2010-12-16,US,GB,-2000
2010-12-16,GB,US,2000
2010-12-16,NL,GB,2000
2010-12-16,GB,NL,-2000
2010-12-16,NL,US,6000
2010-12-16,US,NL,-6000
2010-12-30,US,GB,-37999
2010-12-30,GB,US,37999
2010-12-30,NL,GB,30250
2010-12-30,GB,NL,-30250
2010-12-30,NL,US,4000
2010-12-30,US,NL,-4000
2011-01-13,US,GB,6000
2011-01-13,GB,US,-6000
2011-01-13,NL,GB,0
2011-01-13,GB,NL,0
2011-01-13,NL,US,4000
